Directory,File,File2,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Opérateur,Habitat1,Habitat2,Machine,Projet
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140623_235230_308.wav,LIFEA_20140623_235230_308.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,6,23,23,52,23/06/2014,23:52,23/06/2014,LIFEA,37,64,0,8,4,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140623_235234_714.wav,LIFEA_20140623_235234_714.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,6,23,23,52,23/06/2014,23:52,23/06/2014,LIFEA,45,80,0,9,5,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140623_235252_482.wav,LIFEA_20140623_235252_482.wav,A. Flipo,ChiroSp,ChiroSp,Secondary,Barbar,0,Barbar,0,2014,6,23,23,52,23/06/2014,23:52,23/06/2014,LIFEA,2,33,1,3,1,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140624_004454_690.wav,LIFEA_20140624_004454_690.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,6,24,0,44,24/06/2014,0:44,23/06/2014,LIFEA,1,81,0,10,0,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140624_010137_937.wav,LIFEA_20140624_010137_937.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,6,24,1,1,24/06/2014,1:01,23/06/2014,LIFEA,27,79,0,10,1,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140624_011612_258.wav,LIFEA_20140624_011612_258.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,6,24,1,16,24/06/2014,1:16,23/06/2014,LIFEA,3,80,0,6,0,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140624_012516_251.wav,LIFEA_20140624_012516_251.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,6,24,1,25,24/06/2014,1:25,23/06/2014,LIFEA,3,74,0,10,0,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140624_012523_578.wav,LIFEA_20140624_012523_578.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,6,24,1,25,24/06/2014,1:25,23/06/2014,LIFEA,7,80,42,10,1,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140624_031632_413.wav,LIFEA_20140624_031632_413.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,6,24,3,16,24/06/2014,3:16,23/06/2014,LIFEA,18,78,11,10,0,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140624_grottesFondForet/wav/,LIFEA_0_20140624_044737_928.wav,LIFEA_20140624_044737_928.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,6,24,4,47,24/06/2014,4:47,23/06/2014,LIFEA,17,79,0,9,0,0,Grottes fond de Foret ,S. Pirotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140626_verger lisiere-grotte Walou/wav/,LIFEA_0_20140625_224237_449.wav,LIFEA_20140625_224237_449.wav,T. Kinet,Nyclei,ENVsp,Main,ENVsp,10,Nyclei,2,2014,6,25,22,42,25/06/2014,22:42,25/06/2014,LIFEA,15,26,170,10,3,0,Grotte Walou,F. Lejeune,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140701_Bois de la Faye/wav/,LIFEA_0_20140701_222724_636.wav,LIFEA_20140701_222724_636.wav,A. Flipo,ChiroSp,ChiroSp,Main,Pip35,3,Pipkuh,1,2014,7,1,22,27,1/07/2014,22:27,1/07/2014,LIFEA,22,52,84,4,1,0,Bois de la Faye ,S. Pirotte,Forêt mixte,Sentier (non induré - circulation piétonne),SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140703_domaine militaire/wav/,LIFEA_0_20140702_223041_195.wav,LIFEA_20140702_223041_195.wav,A. Flipo,Pipnat,ChiroSp,Main,Pip35,3,Pipkuh,0,2014,7,2,22,30,2/07/2014,22:30,2/07/2014,LIFEA,2,42,0,3,0,0,Domaine militaire Chaudfontaine ,S. Pirotte,"Pelouse, Lande",buissons isolés,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140703_domaine militaire/wav/,LIFEA_0_20140702_223058_206.wav,LIFEA_20140702_223058_206.wav,A. Flipo,ChiroSp,ChiroSp,Main,Pip35,4,Pipkuh,1,2014,7,2,22,30,2/07/2014,22:30,2/07/2014,LIFEA,17,43,57,5,1,0,Domaine militaire Chaudfontaine ,S. Pirotte,"Pelouse, Lande",buissons isolés,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140703_domaine militaire/wav/,LIFEA_0_20140702_224231_836.wav,LIFEA_20140702_224231_836.wav,A. Flipo,ChiroSp,ChiroSp,Main,Pip35,2,Pipkuh,1,2014,7,2,22,42,2/07/2014,22:42,2/07/2014,LIFEA,13,43,94,3,0,0,Domaine militaire Chaudfontaine ,S. Pirotte,"Pelouse, Lande",buissons isolés,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140703_domaine militaire/wav/,LIFEA_0_20140703_041550_175.wav,LIFEA_20140703_041550_175.wav,A. Flipo,Pipnat,Pip35,Main,Pip35,9,Pipkuh,2,2014,7,3,4,15,3/07/2014,4:15,2/07/2014,LIFEA,61,42,77,5,2,0,Domaine militaire Chaudfontaine ,S. Pirotte,"Pelouse, Lande",buissons isolés,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140706_grotte Jumelles Drolenval-Pepinster/wav/,LIFEA_0_20140705_023243_034.wav,LIFEA_20140705_023243_034.wav,T. Kinet,Nyclei,ChiroSp,Main,ENVsp,5,Nyclei,3,2014,7,5,2,32,5/07/2014,2:32,4/07/2014,LIFEA,12,25,0,10,5,0,Grottes jumelles,"S. Pirotte, J. Thonnard, F. Lejeune","Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140706_grotte Jumelles Drolenval-Pepinster/wav/,LIFEA_0_20140706_004840_390.wav,LIFEA_20140706_004840_390.wav,A. Flipo,Rhifer,Rhifer,Main,Rhisp,10,Rhifer,10,2014,7,6,0,48,6/07/2014,0:48,5/07/2014,LIFEA,14,79,0,7,3,0,Grottes jumelles,"S. Pirotte, J. Thonnard, F. Lejeune","Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",SM2-A,Plecotus Natura 2000
