Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Site ,Zone,site Natura 2000,Habitat1,Habitat2,Machine,Opérateur,Projet
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180816_000848_000.wav,ChiroSp,Myomyo,C. Brabant,Principal,Myosp,4,Myobec,4,2018,8,16,0,8,16/08/2018,0:08,15/08/2018,S4U00311,53,36,110,7,4,0,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM2D/WAV/,D-LPB_20180817_000522_796.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,4,Myobra,1,2018,8,17,0,5,17/08/2018,0:05,16/08/2018,D-LPB,53,49,63,4,1,0,verger olivier kints,Condroz,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-D,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180701_035843_311.wav,ChiroSp,Myodau,C. Brabant,Principal,Myosp,3,Myodau,3,2018,7,1,3,58,1/07/2018,3:58,30/06/2018,E-LPB,53,47,88,5,1,0,Behotte point 1,Famenne,BE35025,Prairie,"Route (induré, circulation véhicule rapide)",SM2-E,L. Pontet et D.Grison,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM2D/WAV/,D-LPB_20180817_003203_109.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,4,Myobra,1,2018,8,17,0,32,17/08/2018,0:32,16/08/2018,D-LPB,52,49,0,3,0,0,verger olivier kints,Condroz,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-D,O. Kints,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180808_034006_320.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,8,Myomys,1,2018,8,8,3,40,8/08/2018,3:40,7/08/2018,C-LPB,51,50,0,3,1,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180628_040950_028.wav,Myosp,Myonat,C. Brabant,Principal,Myosp,6,Myonat,5,2018,6,28,4,9,28/06/2018,4:09,27/06/2018,A-LPB,50,38,77,5,3,0,Verger Marie Quoilin,Famenne,hors sites,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,L. Pontet,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180808_030232_600.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myomys,1,2018,8,8,3,2,8/08/2018,3:02,7/08/2018,C-LPB,50,47,0,6,1,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180610_013956_821.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myobec,4,2018,6,10,1,39,10/06/2018,1:39,9/06/2018,A-LPB,49,39,78,6,2,0,Virelles point 1,Fagne,BE32036,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet et C. Brabant,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180629_225451_536.wav,ChiroSp,Myomys,C. Brabant,Principal,Myosp,3,Myodau,3,2018,6,29,22,54,29/06/2018,22:54,29/06/2018,E-LPB,49,48,64,4,2,0,Behotte point 1,Famenne,BE35025,Prairie,"Route (induré, circulation véhicule rapide)",SM2-E,L. Pontet et D.Grison,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180616_035242_208.wav,ChiroSp,Myoalc,C. Brabant,Principal,Myosp,3,Myobra,3,2018,6,16,3,52,16/06/2018,3:52,15/06/2018,E-LPB,49,47,81,4,0,0,Réserve du fil Maillet,Fagne,BE35030,Forêt feuillue,Bande boisée et alignement d'arbres,SM2-E,L. Pontet,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180809_025939_993.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myomys,0,2018,8,9,2,59,9/08/2018,2:59,8/08/2018,C-LPB,49,47,54,5,3,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180807_220114_000.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,8,Myomys,0,2018,8,7,22,1,7/08/2018,22:01,7/08/2018,A-LPB,49,47,51,2,1,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180807_224556_905.wav,Myosp,Myomys,P. Nyssen,Principal,Myosp,8,Myobra,0,2018,8,7,22,45,7/08/2018,22:45,7/08/2018,C-LPB,48,47,0,5,2,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180608_015236_429.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,7,Myobra,3,2018,6,8,1,52,8/06/2018,1:52,7/06/2018,A-LPB,47,44,89,5,0,0,Virelles point 1,Fagne,BE32036,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet et C. Brabant,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180808_221244_000.wav,Myosp,Myodau,C. Brabant,Principal,Myosp,8,Myobra,1,2018,8,8,22,12,8/08/2018,22:12,8/08/2018,A-LPB,46,44,58,3,1,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180628_041012_023.wav,Myosp,Myonat,C. Brabant,Principal,Myosp,6,Myonat,5,2018,6,28,4,10,28/06/2018,4:10,27/06/2018,A-LPB,46,35,68,4,2,1,Verger Marie Quoilin,Famenne,hors sites,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,L. Pontet,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180807_220119_000.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,7,Myobra,1,2018,8,7,22,1,7/08/2018,22:01,7/08/2018,A-LPB,45,44,0,4,1,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180809_002116_585.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myomys,2,2018,8,9,0,21,9/08/2018,0:21,8/08/2018,C-LPB,45,47,0,4,1,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180610_041240_433.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myomys,3,2018,6,10,4,12,10/06/2018,4:12,9/06/2018,A-LPB,44,47,0,4,0,0,Virelles point 1,Fagne,BE32036,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet et C. Brabant,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180816_013435_000.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myonat,4,2018,8,16,1,34,16/08/2018,1:34,15/08/2018,S4U00311,43,46,65,5,2,0,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180627_040312_641.wav,ChiroSp,Myobra,C. Brabant,Principal,Myosp,3,Myonat,3,2018,6,27,4,3,27/06/2018,4:03,26/06/2018,A-LPB,42,38,86,5,2,0,Verger Marie Quoilin,Famenne,hors sites,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180628_041022_023.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,6,Myonat,3,2018,6,28,4,10,28/06/2018,4:10,27/06/2018,A-LPB,42,29,93,4,4,0,Verger Marie Quoilin,Famenne,hors sites,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM2D/WAV/,D-LPB_20180816_221602_946.wav,ChiroSp,Myomys,C. Brabant,Principal,Myosp,5,Myomys,1,2018,8,16,22,16,16/08/2018,22:16,16/08/2018,D-LPB,41,49,0,4,1,0,verger olivier kints,Condroz,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-D,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180629_235029_243.wav,Myosp,Myonat,C. Brabant,Principal,Myosp,7,Myonat,2,2018,6,29,23,50,29/06/2018,23:50,29/06/2018,A-LPB,40,30,111,5,1,0,Basse Wimbe point 6,Famenne,BE35037,Prairie,Haie,SM2-A,L. Pontet et D.Grison,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180617_225441_921.wav,ChiroSp,Myoema,P. Nyssen,Principal,Myosp,5,Myoema,1,2018,6,17,22,54,17/06/2018,22:54,17/06/2018,E-LPB,40,52,82,4,0,0,Réserve du fil Maillet,Fagne,BE35030,Forêt feuillue,Bande boisée et alignement d'arbres,SM2-E,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2C/WAV/,C-LPB_20180702_234400_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,3,Myoalc,3,2018,7,2,23,44,2/07/2018,23:44,2/07/2018,C-LPB,39,51,41,5,3,0,Behotte point 4,Famenne,BE35025,Prairie,"Chemin (induré, circulation véhicule lents)",SM2-C,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180627_040542_619.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,3,Myonat,3,2018,6,27,4,5,27/06/2018,4:05,26/06/2018,A-LPB,39,36,88,4,2,0,Verger Marie Quoilin,Famenne,hors sites,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180618_021057_933.wav,Myosp,Myoema,C. Brabant - P. Nyssen,Principal,Myosp,9,Myoema,2,2018,6,18,2,10,18/06/2018,2:10,17/06/2018,E-LPB,39,57,90,3,0,0,Réserve du fil Maillet,Fagne,BE35030,Forêt feuillue,Bande boisée et alignement d'arbres,SM2-E,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180616_031222_952.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,3,Myobra,3,2018,6,16,3,12,16/06/2018,3:12,15/06/2018,E-LPB,38,50,85,4,0,0,Réserve du fil Maillet,Fagne,BE35030,Forêt feuillue,Bande boisée et alignement d'arbres,SM2-E,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180611_041743_453.wav,ChiroSp,Myomys,C. Brabant,Principal,Myosp,4,Myobra,3,2018,6,11,4,17,11/06/2018,4:17,10/06/2018,A-LPB,38,43,91,5,0,0,Virelles point 1,Fagne,BE32036,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet et C. Brabant,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180808_221059_000.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,7,Myobra,1,2018,8,8,22,10,8/08/2018,22:10,8/08/2018,A-LPB,38,44,56,3,1,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180808_231740_505.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myomys,1,2018,8,8,23,17,8/08/2018,23:17,8/08/2018,C-LPB,38,49,0,6,1,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180611_031641_892.wav,Myosp,Myodau,C. Brabant,Principal,Myosp,8,Myobec,2,2018,6,11,3,16,11/06/2018,3:16,10/06/2018,A-LPB,37,38,87,7,0,0,Virelles point 1,Fagne,BE32036,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet et C. Brabant,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180807_221114_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,5,Myobra,3,2018,8,7,22,11,7/08/2018,22:11,7/08/2018,A-LPB,37,44,0,4,1,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180809_005936_241.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myomys,3,2018,8,9,0,59,9/08/2018,0:59,8/08/2018,C-LPB,37,50,89,6,2,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180610_023920_909.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myobec,3,2018,6,10,2,39,10/06/2018,2:39,9/06/2018,A-LPB,36,41,96,5,0,0,Virelles point 1,Fagne,BE32036,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet et C. Brabant,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180808_215924_000.wav,Myosp,Myodau,C. Brabant,Principal,Myosp,7,Myobra,3,2018,8,8,21,59,8/08/2018,21:59,8/08/2018,A-LPB,36,44,58,3,1,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180618_021102_933.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,4,Myoema,1,2018,6,18,2,11,18/06/2018,2:11,17/06/2018,E-LPB,36,54,69,3,1,0,Réserve du fil Maillet,Fagne,BE35030,Forêt feuillue,Bande boisée et alignement d'arbres,SM2-E,L. Pontet,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180808_042242_847.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,9,Myomys,3,2018,8,8,4,22,8/08/2018,4:22,7/08/2018,C-LPB,36,46,56,5,2,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180711_035524_215.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,7,Myobec,2,2018,7,11,3,55,11/07/2018,3:55,10/07/2018,E-LPB,35,38,104,4,1,0,Frasnes point 2,Fagne,BE35027,Prairie,Haie,SM2-E,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180611_004227_221.wav,Myosp,Myodau,C. Brabant,Principal,Myosp,9,Myobra,3,2018,6,11,0,42,11/06/2018,0:42,10/06/2018,A-LPB,35,44,88,5,0,0,Virelles point 1,Fagne,BE32036,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet et C. Brabant,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180809_013604_427.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myobra,1,2018,8,9,1,36,9/08/2018,1:36,8/08/2018,C-LPB,35,47,78,6,1,1,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180808_221149_000.wav,Myosp,Myodau,C. Brabant,Principal,Myosp,7,Myobra,3,2018,8,8,22,11,8/08/2018,22:11,8/08/2018,A-LPB,35,45,0,3,1,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180628_230342_073.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,8,Myodau,2,2018,6,28,23,3,28/06/2018,23:03,28/06/2018,E-LPB,35,49,70,6,0,0,Behotte point 1,Famenne,BE35025,Prairie,"Route (induré, circulation véhicule rapide)",SM2-E,L. Pontet et D.Grison,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180609_033911_879.wav,Myonat,Myonat,C. Brabant,Principal,Myosp,7,Myonat,7,2018,6,9,3,39,9/06/2018,3:39,8/06/2018,B-LPB,35,35,58,3,2,0,Virelles point 2,Fagne,BE32036,Prairie,Haie,SM2-B,L. Pontet et C. Brabant,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180630_232902_963.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,6,Myonat,2,2018,6,30,23,29,30/06/2018,23:29,30/06/2018,A-LPB,35,34,111,5,1,0,Basse Wimbe point 6,Famenne,BE35037,Prairie,Haie,SM2-A,L. Pontet et D.Grison,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2C/WAV/,C-LPB_20180702_231205_000.wav,ChiroSp,Myoema,C. Brabant - P. Nyssen,Principal,Myosp,5,Myoema,5,2018,7,2,23,12,2/07/2018,23:12,2/07/2018,C-LPB,35,48,34,4,1,0,Behotte point 4,Famenne,BE35025,Prairie,"Chemin (induré, circulation véhicule lents)",SM2-C,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180628_225748_253.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,8,Myodau,3,2018,6,28,22,57,28/06/2018,22:57,28/06/2018,E-LPB,34,47,62,5,1,0,Behotte point 1,Famenne,BE35025,Prairie,"Route (induré, circulation véhicule rapide)",SM2-E,L. Pontet et D.Grison,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180628_230359_540.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,6,Myodau,3,2018,6,28,23,3,28/06/2018,23:03,28/06/2018,E-LPB,34,46,65,5,2,0,Behotte point 1,Famenne,BE35025,Prairie,"Route (induré, circulation véhicule rapide)",SM2-E,L. Pontet et D.Grison,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180627_041935_836.wav,Myosp,Myoema,C. Brabant - P. Nyssen,Principal,Myosp,10,Myoema,3,2018,6,27,4,19,27/06/2018,4:19,26/06/2018,E-LPB,33,55,84,5,0,0,Château Lavaux,Famenne,BE35037,Prairie,Bande boisée et alignement d'arbres,SM2-E,L. Pontet,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180809_005109_878.wav,Myosp,Myomys,C. Brabant,Principal,Myosp,10,Myomys,0,2018,8,9,0,51,9/08/2018,0:51,8/08/2018,C-LPB,33,48,83,5,1,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM2A/WAV/,A-LPB_20180815_022617_193.wav,Myosp,Myonat,C. Brabant,Principal,Myosp,6,Myonat,4,2018,8,15,2,26,15/08/2018,2:26,14/08/2018,A-LPB,32,35,85,5,2,1,La Prée/sous le polonais,Fagne,BE35027,Prairie,Haie,SM2-A,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180616_001048_973.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,8,Myonat,2,2018,6,16,0,10,16/06/2018,0:10,15/06/2018,A-LPB,32,38,107,5,0,0,Roche Madoux point 1,Fagne,BE35030,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180616_235317_267.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,2,Myoema,1,2018,6,16,23,53,16/06/2018,23:53,16/06/2018,E-LPB,32,51,99,4,0,0,Réserve du fil Maillet,Fagne,BE35030,Forêt feuillue,Bande boisée et alignement d'arbres,SM2-E,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180610_040504_000.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,10,Myobra,2,2018,6,10,4,5,10/06/2018,4:05,9/06/2018,A-LPB,31,44,85,4,0,0,Virelles point 1,Fagne,BE32036,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet et C. Brabant,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180807_220229_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,4,Myobra,4,2018,8,7,22,2,7/08/2018,22:02,7/08/2018,A-LPB,31,44,58,4,0,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180815_223031_000.wav,Myosp,Myomys,C. Brabant,Secondaire,Myosp,9,Myomys,3,2018,8,15,22,30,15/08/2018,22:30,15/08/2018,S4U00311,31,45,0,7,4,2,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180608_034728_179.wav,Myosp,Myonat,C. Brabant,Principal,Myosp,10,Myonat,5,2018,6,8,3,47,8/06/2018,3:47,7/06/2018,A-LPB,30,41,0,4,0,0,Virelles point 1,Fagne,BE32036,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-A,L. Pontet et C. Brabant,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180630_231651_552.wav,Myonat,Myonat,C. Brabant,Principal,Myosp,10,Myonat,6,2018,6,30,23,16,30/06/2018,23:16,30/06/2018,A-LPB,30,38,97,4,0,0,Basse Wimbe point 6,Famenne,BE35037,Prairie,Haie,SM2-A,L. Pontet et D.Grison,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2E/WAV/,E-LPB_20180619_031513_601.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,6,Myoema,1,2018,6,19,3,15,19/06/2018,3:15,18/06/2018,E-LPB,30,53,85,4,0,0,Réserve du fil Maillet,Fagne,BE35030,Forêt feuillue,Bande boisée et alignement d'arbres,SM2-E,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180814_052330_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,3,Myomyo,3,2018,8,14,5,23,14/08/2018,5:23,13/08/2018,S4U00311,30,32,128,6,1,0,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180807_224009_160.wav,Myosp,Myomys,C. Brabant - P. Nyssen,Principal,Myosp,7,Myomys,1,2018,8,7,22,40,7/08/2018,22:40,7/08/2018,C-LPB,30,47,92,6,1,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM2E/WAV/,E-LPB_20180814_060525_033.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,9,Myobra,2,2018,8,14,6,5,14/08/2018,6:05,13/08/2018,E-LPB,29,47,77,5,0,0,verger petigny jp jardin,Fagne,BE35027,Prairie,Bande boisée et alignement d'arbres,SM2-E,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180617_034545_044.wav,Myosp,Myobra,P. Nyssen,Principal,Myosp,7,Myoema,3,2018,6,17,3,45,17/06/2018,3:45,16/06/2018,B-LPB,29,55,0,2,0,0,Feschaux point 3,Famenne,BE35034,Prairie,Haie,SM2-B,L. Pontet ,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180807_220104_000.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,6,Myobra,3,2018,8,7,22,1,7/08/2018,22:01,7/08/2018,A-LPB,28,45,55,3,1,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM2C/WAV/,C-LPB_20180815_004759_675.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,10,Myobra,2,2018,8,15,0,47,15/08/2018,0:47,14/08/2018,C-LPB,28,45,62,4,1,0,verger aux roches baudoux,Fagne,BE35027,Prairie,Bande boisée et alignement d'arbres,SM2-C,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM2C/WAV/,C-LPB_20180816_002550_316.wav,Myosp,Myosp,C. Brabant,Principal,Myosp,7,Myobra,2,2018,8,16,0,25,16/08/2018,0:25,15/08/2018,C-LPB,28,47,71,5,1,0,verger aux roches baudoux,Fagne,BE35027,Prairie,Bande boisée et alignement d'arbres,SM2-C,O. Kints,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180809_050942_869.wav,ChiroSp,ChiroSp,P. Nyssen,Secondaire,Myosp,2,Myoema,2,2018,8,9,5,9,9/08/2018,5:09,8/08/2018,C-LPB,27,62,0,5,1,1,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
