Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Site ,Zone,site Natura 2000,Habitat1,Habitat2,Machine,Opérateur,Projet
G:/Life Prairies Bocagères/Reserve d'Aye/SM2D/WAV/,D-LPB_20180711_232734_000.wav,ChiroSp,Pleaus,P. Nyssen,Principal,Plesp,5,Pleaus,3,2018,8,8,23,27,8/08/2018,23:27,8/08/2018,D-LPB,6,24,216,4,3,0,Réserve d'Aye,Famenne,hors sites,Prairie,Arbre isolé,SM2-D,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180618_034002_961.wav,Rhifer,Rhifer,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhifer,10,2018,6,18,3,40,18/06/2018,3:40,17/06/2018,B-LPB,13,81,0,7,0,0,Feschaux point 3,Famenne,BE35034,Prairie,Haie,SM2-B,L. Pontet ,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180624_222804_325.wav,Rhihip,Rhihip,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhihip,10,2018,6,24,22,28,24/06/2018,22:28,24/06/2018,B-LPB,13,104,0,7,1,0,Froidlieu point 3,Famenne,BE35037,Prairie,Haie,SM2-B,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180626_044358_951.wav,Rhihip,Rhihip,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhihip,10,2018,6,26,4,43,26/06/2018,4:43,25/06/2018,B-LPB,13,103,7,7,0,0,Froidlieu point 3,Famenne,BE35037,Prairie,Haie,SM2-B,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2D/WAV/,D-LPB_20180621_224021_677.wav,Rhifer,Rhifer,L. Pontet et C. Brabant,Secondaire,Rhisp,10,Rhifer,10,2018,6,21,22,40,21/06/2018,22:40,21/06/2018,D-LPB,12,78,0,6,0,0,Carrière Malakoff,Famenne,BE35036,Prairie,Haie,SM2-D,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2D/WAV/,D-LPB_20180702_030536_247.wav,Rhifer,Rhifer,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhifer,10,2018,7,2,3,5,2/07/2018,3:05,1/07/2018,D-LPB,12,80,0,7,0,0,Behotte point 6,Famenne,BE35025,Prairie,Bande boisée et alignement d'arbres,SM2-D,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180624_045209_000.wav,Rhihip,Rhihip,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhihip,10,2018,6,24,4,52,24/06/2018,4:52,23/06/2018,B-LPB,12,104,0,7,0,0,Froidlieu point 3,Famenne,BE35037,Prairie,Haie,SM2-B,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180624_041852_955.wav,Rhihip,Rhihip,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhihip,10,2018,6,24,4,18,24/06/2018,4:18,23/06/2018,A-LPB,10,109,0,8,0,0,Froidlieu point 2,Famenne,BE35037,Prairie,Haie,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2D/WAV/,D-LPB_20180616_025528_226.wav,Rhifer,Rhifer,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhifer,10,2018,6,16,2,55,16/06/2018,2:55,15/06/2018,D-LPB,8,80,0,6,0,0,Réserve Naturelle du Couputienne point 1,Fagne,BE35030,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-D,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2D/WAV/,D-LPB_20180625_230210_025.wav,Rhifer,Rhifer,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhifer,10,2018,6,25,23,2,25/06/2018,23:02,25/06/2018,D-LPB,6,77,0,6,0,0,Revogne point 2,Famenne,BE35037,Prairie,Haie,SM2-D,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180701_000022_657.wav,Rhifer,Rhifer,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhifer,10,2018,7,1,0,0,1/07/2018,0:00,30/06/2018,A-LPB,6,82,0,8,0,0,Basse Wimbe point 6,Famenne,BE35037,Prairie,Haie,SM2-A,L. Pontet et D.Grison,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180624_041226_956.wav,Rhihip,Rhihip,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhihip,10,2018,6,24,4,12,24/06/2018,4:12,23/06/2018,A-LPB,5,109,8,8,0,0,Froidlieu point 2,Famenne,BE35037,Prairie,Haie,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2D/WAV/,D-LPB_20180616_023928_734.wav,Rhifer,Rhifer,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhifer,9,2018,6,16,2,39,16/06/2018,2:39,15/06/2018,D-LPB,4,80,0,5,0,0,Réserve Naturelle du Couputienne point 1,Fagne,BE35030,Lisière vraie (milieu ouvert/milieux forestier),Haie,SM2-D,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180815_004254_000.wav,ChiroSp,Rhifer,C. Brabant,Principal,Rhisp,2,Rhifer,2,2018,8,15,0,42,15/08/2018,0:42,14/08/2018,S4U00311,4,80,0,5,1,0,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180624_042449_323.wav,Rhihip,Rhihip,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhihip,10,2018,6,24,4,24,24/06/2018,4:24,23/06/2018,A-LPB,4,109,0,8,0,0,Froidlieu point 2,Famenne,BE35037,Prairie,Haie,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180617_020509_536.wav,Rhifer,Rhifer,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhifer,10,2018,6,17,2,5,17/06/2018,2:05,16/06/2018,B-LPB,2,81,0,6,0,0,Feschaux point 3,Famenne,BE35034,Prairie,Haie,SM2-B,L. Pontet ,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180624_232053_889.wav,Rhihip,Rhihip,L. Pontet et C. Brabant,Principal,Rhisp,10,Rhihip,10,2018,6,24,23,20,24/06/2018,23:20,24/06/2018,A-LPB,2,110,0,7,0,0,Froidlieu point 2,Famenne,BE35037,Prairie,Haie,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM2E/WAV/,E-LPB_20180813_213205_000.wav,ChiroSp,Rhifer,C. Brabant,Principal,Myosp,2,Myobra,2,2018,8,13,21,32,13/08/2018,21:32,13/08/2018,E-LPB,1,44,0,4,0,0,verger petigny jp jardin,Fagne,BE35027,Prairie,Bande boisée et alignement d'arbres,SM2-E,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180813_220220_000.wav,Rhihip,Myosp,C. Brabant,Principal,Rhisp,6,Rhihip,6,2018,8,13,22,2,13/08/2018,22:02,13/08/2018,S4U00311,7,45,65,6,0,0,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180621_223214_794.wav,ChiroSp,ENVsp,C. Brabant,Principal,ENVsp,5,Vesmur,0,2018,6,21,22,32,21/06/2018,22:32,21/06/2018,B-LPB,3,28,0,6,0,0,Tienne du Grand Sart,Famenne,BE35035,Prairie/culture,Haie,SM2-B,L. Pontet,Life Prairies Bocagères
