Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,site,N° appareil
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980352_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,9,PippiT,8,2017,9,20,-,-,20/09/2017,-,-,-,2,48,0,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980353_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,8,2017,9,20,-,-,20/09/2017,-,-,-,7,49,0,3,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980355_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,20,-,-,20/09/2017,-,-,-,3,47,0,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980357_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,20,-,-,20/09/2017,-,-,-,7,46,168,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980359_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,9,PippiT,9,2017,9,20,-,-,20/09/2017,-,-,-,4,48,0,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980366_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,7,2017,9,20,-,-,20/09/2017,-,-,-,3,47,0,4,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980376_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,20,-,-,20/09/2017,-,-,-,11,46,0,4,2,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980390_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,7,PippiT,7,2017,9,20,-,-,20/09/2017,-,-,-,2,46,0,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980391_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,8,2017,9,20,-,-,20/09/2017,-,-,-,4,47,94,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980393_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,6,PippiT,6,2017,9,20,-,-,20/09/2017,-,-,-,2,47,132,4,0,0,1) abri animaux,18802
